"id","x_avg","y_avg","z_avg","vb_avg","x_stddev","y_stddev","z_stddev","vb_stddev","x_var","y_var","z_var","vb_var","x_rms","y_rms","z_rms","vb_rms"
"3","138.909","169.059","282.01","0.0003","8.30052","11.2923","14.9725","1.20552","68.8987","127.515","224.175","1.45328","24.495","32.115","41.85","3.58875"
"1","100.309","148.419","264.459","0.01028","10.8124","11.4032","16.6823","1.64245","116.908","130.033","278.3","2.69765","29.227","36.23","46.735","4.52945"
"1","101.669","154.663","271.689","0.04383","10.3191","11.5204","13.2167","1.47293","106.483","132.72","174.68","2.16952","33.956","33.405","35.895","4.50505"
"2","112.884","158.933","276.911","0.03283","10.6519","15.9689","21.9865","1.51976","113.464","255.005","483.405","2.30968","28.0015","43.71","70.865","4.0148"
"3","138.126","169.531","280.691","-0.00688","8.26899","12.8461","15.4091","1.13359","68.3763","165.023","237.44","1.28502","28.77","34.02","45.82","2.91985"
"1","100.51","145.798","257.385","-0.0486","9.41979","10.6967","14.9102","1.5598","88.7324","114.42","222.315","2.43296","26.705","28.91","46.885","4.52335"
"0","93.2858","142.827","254.724","0.02325","6.14105","11.0023","14.6625","3.74995","37.7125","121.05","214.99","14.0621","17.1675","30.51","40.625","10.6915"
"3","138.319","167.803","278.847","0.04337","10.0761","11.8136","15.8616","1.16788","101.527","139.56","251.59","1.36395","35.485","37.53","47.42","3.6407"
"3","136.069","161.412","272.846","0.01916","9.41402","11.2351","15.9143","1.18977","88.6237","126.228","253.265","1.41555","31.285","30.74","45.055","3.3826"
"3","137.692","170.928","284.527","-0.02798","9.79925","11.4195","15.0531","1.18924","96.0253","130.405","226.595","1.4143","26.705","32.345","44.67","3.517"
"2","112.707","152.599","268.697","-0.03583","10.8941","14.4745","21.0806","1.41723","118.681","209.51","444.39","2.00853","32.278","43.02","63.305","5.0777"
"3","136.972","162.55","276.172","-0.01279","8.66891","10.7153","15.0399","1.27486","75.15","114.817","226.2","1.62526","27.47","30.13","43.07","3.18255"
"2","111.717","151.531","270.493","0.03502","11.5313","13.7049","22.2429","1.52905","132.97","187.825","494.745","2.33798","36.932","42.41","64.07","5.00595"
"2","111.68","156.844","278.748","-0.0193","11.1223","14.6677","21.6495","1.42108","123.705","215.143","468.7","2.01947","29.07","37.45","58.795","4.4302"
"3","138.457","168.804","280.121","0.00817","8.73074","11.793","16.5769","1.15602","76.2258","139.075","274.795","1.33638","26.325","36.46","49.635","3.2039"
"2","110.829","155.656","278.292","-0.02915","11.0322","15.3729","24.2639","1.50834","121.709","236.327","588.735","2.27507","30.8265","44.925","66.895","3.88345"
"2","111.714","152.774","271.08","-0.01495","10.945","14.1451","20.1917","1.27014","119.792","200.085","407.705","1.61327","30.902","40.655","71.17","3.77045"
"1","100.267","147.178","261.391","-0.0151","9.73842","10.263","14.4255","1.54984","94.8369","105.33","208.095","2.402","26.6295","26.015","46.655","4.6883"
"2","111.488","156.358","275.249","-0.03471","9.86041","14.04","21.1735","1.42392","97.2277","197.122","448.315","2.02754","27.545","47.06","62.08","4.531"
"3","140.5","168.006","276.009","0.04816","8.69153","11.4361","14.8859","1.13563","75.5426","130.785","221.59","1.28966","25.715","37.145","44.675","3.3276"
"0","92.8862","140.606","249.49","-0.03666","6.91949","9.74192","11.2149","3.53128","47.8794","94.905","125.775","12.4699","19.154","31.045","29.78","11.3435"
"2","113.121","155.798","274.373","-0.0057","12.0619","15.8049","21.0189","1.48235","145.49","249.795","441.795","2.19735","33.9535","46.375","59.26","4.70665"
"3","139.618","166.949","275.578","-0.02416","8.48717","10.7289","14.33","1.10179","72.0321","115.11","205.35","1.21395","26.86","32.725","51.01","3.575"
"2","112.522","154.775","271.752","-0.03665","11.5685","13.8217","21.7384","1.5066","133.83","191.04","472.56","2.26983","31.439","39.36","55.21","4.7081"
"1","101.09","148.388","263.292","0.03296","9.91846","10.585","13.5976","1.41136","98.3758","112.043","184.895","1.99194","30.5215","29.52","43.6","4.75395"
"2","110.861","157.054","277.029","-0.04032","10.4212","14.0203","22.714","1.50182","108.601","196.57","515.925","2.25545","30.2175","40.12","68.195","4.36605"
"0","93.9427","149.186","258.48","-0.05422","5.85248","9.47681","11.1027","3.85884","34.2516","89.81","123.27","14.8907","17.1675","24.485","32.605","10.2654"
"2","112.778","160.813","283.178","-0.00483","9.94608","12.6117","21.7203","1.46908","98.9245","159.055","471.77","2.15819","32.505","36.765","65.595","3.94455"
"1","101.323","151.489","269.71","0.00204","10.5492","12.2847","16.6633","1.60364","111.286","150.915","277.665","2.57167","32.126","37.225","66.895","4.4852"
"2","111.094","159.899","283.242","-0.0088","10.2442","12.1676","21.7012","1.46425","104.944","148.05","470.94","2.14402","27.243","32.495","60.63","4.70965"
"0","95.1071","145.421","257.319","-0.06355","6.16908","11.6314","15.425","4.13922","38.0575","135.29","237.93","17.1332","18.008","33.255","48.03","11.878"
"1","100.567","148.618","265.126","-0.04377","10.1901","11.7794","14.4791","1.56352","103.838","138.755","209.645","2.44459","32.5835","34.17","42.92","5.12655"
"2","112.226","158.349","279.337","-0.04546","9.72056","15.037","20.894","1.42422","94.4892","226.113","436.56","2.02839","27.2395","47.06","56.81","4.6425"
"2","112.522","155.134","273.915","-0.01594","10.5579","13.9509","19.4877","1.3914","111.47","194.628","379.77","1.936","36.1695","39.585","51.85","3.9736"
"0","95.8689","150.767","260.656","0.00702","6.21201","8.91123","12.8273","4.08454","38.589","79.41","164.54","16.6835","17.0905","29.675","42.995","11.197"
"1","101.08","150.974","267.092","0.01524","10.1871","11.5683","13.9201","1.50343","103.777","133.825","193.77","2.26032","32.886","32.8","41.92","3.9751"
"2","111.705","156.074","275.04","-0.01232","10.4251","13.7705","21.5019","1.40014","108.683","189.628","462.33","1.96038","31.59","39.895","65.905","4.3004"
"3","138.098","172.265","285.905","0.01883","8.86748","10.3995","15.0766","1.17367","78.6322","108.15","227.305","1.3775","25.715","27.155","50.4","3.37035"
"1","101.032","148.02","263.508","0.00632","10.3765","10.6278","15.1601","1.47253","107.672","112.95","229.83","2.16834","31.438","32.95","45.74","3.7903"
"2","111.804","153.637","273.751","-0.06395","11.4543","15.2191","22.401","1.43556","131.2","231.62","501.805","2.06083","36.5525","39.13","61.47","3.60405"
